[12-Jul-2026 09:53:55 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:53:55 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:53:55 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:53:55 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:53:55 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:53:55 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:53:55 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:56:20 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:56:20 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:56:20 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:56:20 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:56:20 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:56:20 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:58:09 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:58:09 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:58:09 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:58:09 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:58:09 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:58:09 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:58:14 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:58:14 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:58:14 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:58:14 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:58:14 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:58:14 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:58:17 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:58:17 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:58:17 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
